param	n	pearson	p	sigma
yibN	589	0.3349	7.004e-15	8.6114
envC	589	0.2844	2.509e-10	7.1880
yibQ	589	-0.2172	1.223e-05	5.3908
yibD	589	-0.2639	9.832e-09	6.6275
htrL	589	-0.2159	1.452e-05	5.3578
mutM	589	-0.215	1.651e-05	5.3329
rpmG	589	0.04867	0.8963	1.1805
rpmB	589	-0.006848	0.9475	0.1659
yicR	589	-0.2307	1.821e-06	5.7455
slmA	589	-0.03594	0.9244	0.8713
rph	589	-0.3163	4.277e-13	8.0793
yicC	589	-0.2138	1.924e-05	5.3032
dinD	589	-0.2845	2.459e-10	7.1910
yicG	589	-0.2521	6.872e-08	6.3123
ligB	589	-0.326	5.217e-14	8.3552
rpoZ	589	0.2567	3.277e-08	6.4340
trmH	589	-0.05957	0.8532	1.4458
recG	589	-0.0178	0.9432	0.4314
yicH	589	-0.2737	1.76e-09	6.8955
yicI	589	-0.01616	0.9441	0.3916
yicJ	589	-0.3367	4.586e-15	8.6646
setC	589	-0.309	1.998e-12	7.8719
yicL	589	-0.2672	5.519e-09	6.7185
nlpA	589	-0.5058	6.219e-39	14.2064
nepI	589	-0.2738	1.737e-09	6.8975
yicN	589	-0.06194	0.8402	1.5037
yicO	589	0.2433	2.773e-07	6.0769
uhpC	589	-0.04911	0.8949	1.1914
uhpB	589	0.211	2.804e-05	5.2293
ivbL	589	0.1446	0.03858	3.5414
emrD	589	0.08364	0.594	2.0336
yidG	589	-0.2696	3.672e-09	6.7821
yidH	589	-0.03679	0.923	0.8919
yidI	589	-0.3029	7.004e-12	7.6996
yidJ	589	-0.1826	0.0008835	4.4997
glvG	589	-0.1723	0.002689	4.2391
glvB	589	-0.276	1.164e-09	6.9584
glvC	589	0.1387	0.06393	3.3935
yidE	589	-0.01919	0.9423	0.4650
ibpB	589	-0.3302	2.029e-14	8.4765
ibpA	589	-0.3107	1.409e-12	7.9193
yidQ	589	-0.02067	0.9413	0.5009
yidR	589	-0.3665	3.04e-18	9.5444
cbrA	589	-0.2403	4.407e-07	5.9969
yidX	589	-0.3098	1.684e-12	7.8952
yidA	589	-0.05227	0.8845	1.2682
yidB	589	-0.05478	0.875	1.3292
gyrB	589	-0.3073	2.827e-12	7.8246
recF	589	0.2037	7.157e-05	5.0411
dnaN	589	0.07686	0.7057	1.8677
rpmH	589	-0.006129	0.9477	0.1485
rnpA	589	-0.05303	0.8818	1.2867
yidC	589	-0.1614	0.008203	3.9614
mnmE	589	-0.1436	0.04227	3.5151
tnaC	589	0.451	1.729e-29	12.2423
mdtL	589	-0.1231	0.2172	3.0061
yieE	589	-0.2017	9.158e-05	4.9904
yieF	589	0.08165	0.6317	1.9848
yieH	589	-0.3427	1.123e-15	8.8394
cbrB	589	-0.2562	3.562e-08	6.4204
cbrC	589	-0.3006	1.095e-11	7.6373
yieK	589	-0.3091	1.952e-12	7.8751
yieL	589	-0.2833	3.073e-10	7.1581
bglH	589	-0.3095	1.786e-12	7.8872
bglB	589	-0.3332	1.025e-14	8.5633
bglG	589	-0.2454	2.011e-07	6.1319
phoU	589	-0.3976	5.653e-22	10.4991
rsmG	589	-0.2618	1.387e-08	6.5727
mnmG	589	-0.07897	0.6756	1.9194
mioC	589	0.0829	0.6086	2.0154
viaA	589	-0.202	8.867e-05	4.9971
ravA	589	-0.1901	0.0003749	4.6911
hsrA	589	-0.3201	1.927e-13	8.1848
yieP	589	-0.08546	0.5553	2.0782
pssR	589	-0.2539	5.186e-08	6.3588
yifE	589	-0.06688	0.8073	1.6239
yifB	589	-0.3003	1.173e-11	7.6278
ilvL	589	0.005275	0.9478	0.1278
ilvG_1	589	-0.096	0.2165	2.3367
ilvM	589	0.08915	0.462	2.1685
ppiC	589	0.02844	0.9344	0.6894
yifO	589	-0.1457	0.03517	3.5678
yifN	589	-0.2517	7.348e-08	6.3012
rep	589	0.2551	4.204e-08	6.3933
rhlB	589	0.2576	2.823e-08	6.4582
rhoL	589	0.1104	0.5272	2.6915
yifK	589	-0.234	1.124e-06	5.8321
aslB	589	-0.3497	2.104e-16	9.0437
aslA	589	-0.1442	0.03994	3.5314
hemY	589	-0.1321	0.1092	3.2295
yzcX	589	-0.1047	0.76	2.5506
yigA	589	-0.3193	2.283e-13	8.1625
xerC	589	-0.03348	0.9281	0.8116
yigB	589	0.2076	4.376e-05	5.1407
uvrD	589	-0.04261	0.9118	1.0334
yigF	589	-0.3764	2.195e-19	9.8444
yigG	589	-0.3303	1.999e-14	8.4784
rarD	589	-0.0888	0.4717	2.1600
yigI	589	-0.3348	7.22e-15	8.6075
recQ	589	-0.3031	6.746e-12	7.7048
yigM	589	-0.2854	2.108e-10	7.2137
ysgA	589	0.2125	2.307e-05	5.2677
rmuC	589	0.2914	6.661e-11	7.3813
yigP	589	0.3757	2.69e-19	9.8215
tatA	589	0.07656	0.7097	1.8604
tatB	589	-0.09405	0.2979	2.2889
tatC	589	0.1746	0.002126	4.2953
